type,zid,facebook,twitter,instagram,youtube,medium,pinterest,storify,linkedin,google,vimeo,flickr,slideshare
Department of Energy,1,116332,646819,31617,"15,221",,,,,,,,
Secretary of Energy,2,639,13021,,,,,,,,,,
Deputy Secretary of Energy,3,,,,,,,,,,,,
Press Secretary,4,,19455,,,,,,,,,,
Federal Energy Regulatory Commission,5,,,,,,,,,,,,
Office of the Under Secretary for Nuclear Security and National Nuclear Security Organization,6,,,,,,,,,,,,
Under Secretary for Nuclear Security Administration,7,,,,,,,,,,,,
NNSA,8,37061,11308,,,,,,,,,,
Other Nuclear Security,9,,,,,,,,,,,,
Office of the Under Secretary for Science & Energy,10,,,,,,,,,,,,
EERE,11,158061,,,,,,,,,,,
Energy Saver,12,17432,4936,,,,,,,,,,
Science Bowl,13,,1167,,,,,,,,,,
Better Buildings Challenge,14,,3460,,,,,,,,,,
BioenergyKDF,15,,,,,,,,,,,,
Solar Decathlon,16,20646,17045,,"1,756",,,,,,,,
Office of Science,17,,8916,,380,,,,,,,,
SBIR,18,,1554,,,,,,,,,,
Fossil Energy,19,21873,5159,,,,,,,,,,
Nuclear Energy,20,,,,,,,,,,,,
Electricity,21,,,,,,,,,,,,
Indian Energy,22,,,,,,,,,,,,
Office of Technology Transitions,23,,,,,,,,,,,,
ARPA-E,24,19362,17704,,,,,,,,,,
Energy Information Administration,25,31423,98056,,899,,,,,,,,
Ames Laboratory,26,,,,,,,,,,,,
Argonne National Laboratory,27,,,,,,,,,,,,
Brookhaven National Laboratory,28,,,,,,,,,,,,
Fermi National Accelerator Laboratory,29,,,,,,,,,,,,
Idaho National Laboratory,30,,,,,,,,,,,,
Jefferson Lab,31,,,,,,,,,,,,
Lawrence Berkeley National Laboratory,32,,,,,,,,,,,,
Lawrence Livermore National Laboratory,33,,,,,,,,,,,,
Los Alamos National Laboratory,34,,,,,,,,,,,,
National Energy Technology Laboratory,35,,,,,,,,,,,,
National Renewable Energy Laboratory,36,,,,,,,,,,,,
Oak Ridge National Laboratory,37,,,,,,,,,,,,
Pacific Northwest National Laboratory,38,,,,,,,,,,,,
Princeton Plasma Physics Laboratory,39,,,,,,,,,,,,
Sandia National Laboratory,40,,,,,,,,,,,,
Savannah River National Laboratory,41,,,,,,,,,,,,
SLAC National Accelerator Laboratory,42,,,,,,,,,,,,
ORNL Building Tech,43,,,,,,,,,,,,
ORNL Manufacturing,44,,,,,,,,,,,,
LBNL Media Report,45,,,,,,,,,,,,
Legacy Management,46,,,,,,,,,,,,
Environmental Management,47,,,,,,,,,,,,
